date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:08:05	9294/9294	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Apr%202022%2020:25:44%20GMT	https://themeknit.com/demo/html/authfy/demo/login-04.html	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/login-04.html	(from )
11:08:06	113/113	---MCZ	200	added ('OK')	text/plain	etag:%22330-1715837807;gz%22	https://themeknit.com/robots.txt		(from )
11:08:09	116076/116076	---MCZ	404	error ('Not%20Found')	text/html	date:Thu,%2016%20May%202024%2008:08:06%20GMT	https://themeknit.com/demo/html/authfy/demo/images/favicon-16x16.png	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/images/favicon-16x16.png	(from https://themeknit.com/demo/html/authfy/demo/login-04.html)
11:08:10	8661/8661	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:39%20GMT	https://themeknit.com/demo/html/authfy/demo/css/login4-style.css	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/css/login4-style.css	(from https://themeknit.com/demo/html/authfy/demo/login-04.html)
11:08:11	7609/7609	---M--	200	added ('OK')	image/png	date:Tue,%2019%20Apr%202022%2020:34:55%20GMT	https://themeknit.com/demo/html/authfy/demo/images/brand-logo.png	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/images/brand-logo.png	(from https://themeknit.com/demo/html/authfy/demo/login-04.html)
11:08:28	85578/85578	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:14%20GMT	https://themeknit.com/demo/html/authfy/demo/js/jquery-2.2.4.min.js	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/js/jquery-2.2.4.min.js	(from https://themeknit.com/demo/html/authfy/demo/login-04.html)
11:08:43	671/671	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:16%20GMT	https://themeknit.com/demo/html/authfy/demo/js/custom.js	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/js/custom.js	(from https://themeknit.com/demo/html/authfy/demo/login-04.html)
11:08:43	37045/37045	---M-Z	200	added ('OK')	text/javascript	date:Tue,%2019%20Apr%202022%2020:35:19%20GMT	https://themeknit.com/demo/html/authfy/demo/js/bootstrap.min.js	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/js/bootstrap.min.js	(from https://themeknit.com/demo/html/authfy/demo/login-04.html)
11:08:49	21984/21984	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:46%20GMT	https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css	(from https://themeknit.com/demo/html/authfy/demo/css/login4-style.css)
11:10:53	85624/85624	---M--	200	added ('OK')	image/jpeg	date:Tue,%2019%20Apr%202022%2020:35:03%20GMT	https://themeknit.com/demo/html/authfy/demo/images/computer-1867758_1920-min.jpg	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/images/computer-1867758_1920-min.jpg	(from https://themeknit.com/demo/html/authfy/demo/css/login4-style.css)
11:11:11	121200/121200	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:42%20GMT	https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css	(from https://themeknit.com/demo/html/authfy/demo/css/login4-style.css)
11:12:41	65452/65452	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Apr%202022%2020:35:42%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.woff?v=4.2.0	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.woff	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
11:12:51	287007/287007	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Apr%202022%2020:35:38%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.svg?v=4.2.0	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont78ce.svg	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
11:13:13	336/336	---M-Z	200	added ('OK')	text/css	date:Tue,%2019%20Apr%202022%2020:34:46%20GMT	https://themeknit.com/demo/html/authfy/demo/css/preloader.css	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/css/preloader.css	(from https://themeknit.com/demo/html/authfy/demo/css/login4-style.css)
11:15:32	116076/116076	---M-Z	404	error ('Not%20Found')	text/html	date:Thu,%2016%20May%202024%2008:15:30%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.12.delayed	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
11:15:33	23320/23320	---M--	200	added ('OK')	font/woff	date:Tue,%2019%20Apr%202022%2020:35:28%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.woff	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
11:15:36	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:31%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regulard41d.eot	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
11:15:40	41280/41280	---M--	200	added ('OK')	font/ttf	date:Tue,%2019%20Apr%202022%2020:35:33%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.ttf	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
11:15:41	62926/62926	---M-Z	200	added ('OK')	image/svg+xml	date:Tue,%2019%20Apr%202022%2020:35:44%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/glyphicons-halflings-regular.svg	(from https://themeknit.com/demo/html/authfy/demo/css/bootstrap.min.css)
11:15:59	56006/56006	UR-M--	200	added ('Partial%20Content')	application/vnd.ms-fontobject	date:Tue,%2019%20Apr%202022%2020:35:46%20GMT	https://themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfont.eot?	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/fonts/fontawesome-webfontd41d.eot	(from https://themeknit.com/demo/html/authfy/demo/css/font-awesome.min.css)
11:15:59	13999/13999	---M--	200	added ('OK')	image/gif	date:Tue,%2019%20Apr%202022%2020:34:54%20GMT	https://themeknit.com/demo/html/authfy/demo/images/preloader.gif	C:/My%20Web%20Sites/Login-demo/themeknit.com/demo/html/authfy/demo/images/preloader.gif	(from https://themeknit.com/demo/html/authfy/demo/css/preloader.css)
